base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
Populacao DATASUS,pop18.dbf,2018,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/pop18.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop19.dbf,2019,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/pop19.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop20.dbf,2020,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/pop20.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop21.dbf,2021,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/pop21.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POP22.dbf,2022,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POP22.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POP23.dbf,2023,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POP23.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POP24.dbf,2024,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POP24.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR15.zip,2015,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR15.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop15.dbf,2015,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR15.zip::pop15.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR16.zip,2016,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR16.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop16.dbf,2016,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR16.zip::pop16.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR17.zip,2017,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR17.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop17.dbf,2017,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR17.zip::pop17.dbf,Base complementar; nao substitui o denominador SINASC.
